emp_id,name,dept,location,hire_date,salary,attrition,perf_score,engagement,absenteeism_days
IN1000,Allison Hill,Sales,India,2019-05-19,42751.18,No,1.98,1.56,3
IN1001,Brian Yang,Support,India,2017-01-23,49563.27,No,1.13,1.37,7
IN1002,Amanda Davis,Support,India,2019-07-17,106222.06,Yes,3.86,3.81,13
IN1003,Alyssa Gonzalez,Engineering,India,2022-09-20,89413.0,No,4.24,1.03,5
IN1004,Kevin Pacheco,Finance,India,2015-09-11,77427.56,Yes,1.86,4.05,3
IN1005,Caitlin Henderson,Sales,India,2020-04-23,81792.0,No,4.39,3.41,1
IN1006,Tyler Rogers,Finance,India,2017-02-28,98985.09,No,1.32,2.17,20
IN1007,Ian Cooper,Support,India,2020-01-31,137399.69,No,3.31,3.82,1
IN1008,Monica Herrera,Engineering,India,2022-01-09,125037.52,Yes,4.42,4.47,12
IN1009,Edward Fuller,HR,India,2021-09-26,89875.13,No,1.65,2.42,8
IN1010,Michele Williams,Sales,India,2019-06-18,107004.41,Yes,3.14,1.98,14
IN1011,Victoria Wyatt,Finance,India,2017-04-20,69694.26,Yes,3.74,4.37,1
IN1012,Jesse Flowers,Engineering,India,2018-05-08,130398.29,No,2.6,1.26,18
IN1013,Daniel Adams,HR,India,2016-10-18,63388.92,No,2.58,4.66,14
IN1014,Carolyn Daniel,Engineering,India,2018-05-13,69136.82,Yes,3.98,3.16,18
IN1015,Devin Schaefer,Finance,India,2019-04-27,138760.52,No,2.45,4.99,4
IN1016,Sarah Parsons,Support,India,2019-06-25,94286.74,Yes,4.44,1.61,5
IN1017,Renee Morales,Finance,India,2016-09-16,105604.99,No,2.53,4.98,16
IN1018,Tommy Walter,HR,India,2020-12-08,146818.62,Yes,3.72,1.46,17
IN1019,Jonathan Wilkerson,HR,India,2023-05-23,124545.86,No,1.45,2.74,14
IN1020,Charles Mcgee,Sales,India,2020-01-20,144919.75,No,4.89,4.05,16
IN1021,Jessica Silva,Sales,India,2021-09-28,135757.04,No,4.37,3.03,6
IN1022,Zachary Hicks,Engineering,India,2017-02-16,81130.52,Yes,3.16,4.11,16
IN1023,Shannon Hernandez,Sales,India,2018-04-22,105883.9,No,1.08,4.72,9
IN1024,Jennifer Brown,Engineering,India,2022-01-28,46371.77,Yes,1.34,2.94,2
IN1025,Julie King,Support,India,2015-10-12,124241.79,Yes,3.64,4.79,5
IN1026,Ashley Dyer,HR,India,2020-02-14,98044.12,No,4.86,4.72,6
IN1027,Gina Carter,HR,India,2018-04-10,83889.15,No,2.75,3.07,3
IN1028,Troy Liu,Engineering,India,2020-01-24,64716.71,No,1.08,3.22,18
IN1029,Pamela Romero,Engineering,India,2017-05-24,40790.99,Yes,1.92,4.62,10
IN1030,Elizabeth Fowler,Sales,India,2018-12-19,96557.17,No,3.68,1.86,4
IN1031,Phillip Ryan,Support,India,2015-08-05,103383.28,Yes,4.14,4.23,6
IN1032,Katherine Rodriguez,Sales,India,2021-10-04,50662.39,No,2.42,2.64,1
IN1033,Sandra Parker,Sales,India,2016-07-26,46667.39,No,4.2,1.44,6
IN1034,Keith Miller,Engineering,India,2023-11-07,98991.43,Yes,2.69,2.11,7
IN1035,Vanessa Patel,Sales,India,2017-09-21,88744.38,Yes,1.2,5.0,0
IN1036,John Pierce,Sales,India,2020-02-04,141900.37,Yes,1.67,2.94,6
