emp_id,name,dept,location,hire_date,salary,attrition,perf_score,engagement,absenteeism_days
UK1000,Jill Washington,Support,UK,2021-03-28,107493.06,Yes,3.44,3.63,8
UK1001,Kimberly Gibson,Sales,UK,2021-01-21,59845.77,No,4.69,2.4,5
UK1002,Veronica Allen,Engineering,UK,2022-02-05,102295.32,No,1.28,3.96,0
UK1003,Reginald Williams,Sales,UK,2023-08-18,122072.29,Yes,2.5,2.81,5
UK1004,Roberta Hughes,HR,UK,2018-03-04,74280.11,No,4.11,3.27,2
UK1005,Andrew Shaw MD,Sales,UK,2017-04-16,57113.79,Yes,3.7,2.09,13
UK1006,Jessica Fox,Finance,UK,2023-05-11,106778.36,No,2.09,4.02,3
UK1007,Charles Pitts,HR,UK,2018-03-18,87290.5,No,3.71,3.37,16
UK1008,Richard Baker,HR,UK,2022-05-06,44995.91,No,4.94,1.22,6
UK1009,Sarah Phelps,HR,UK,2022-01-18,143985.65,Yes,4.06,2.16,3
UK1010,Lori Clay,Sales,UK,2023-11-20,94712.39,No,1.7,2.52,7
UK1011,Amanda Jones,Support,UK,2020-06-21,101459.59,No,1.29,4.45,1
UK1012,Nicole Hamilton MD,Finance,UK,2017-04-17,42061.57,Yes,4.45,3.3,18
UK1013,Michael Berger,Finance,UK,2016-05-13,118044.89,No,2.16,2.62,10
UK1014,Anthony Howard,Engineering,UK,2022-11-29,128145.44,No,4.33,4.68,2
UK1015,Joseph Knight,Finance,UK,2018-08-24,132893.28,Yes,2.74,2.6,2
UK1016,Bob Pitts,Finance,UK,2019-09-06,135757.69,No,1.89,4.12,2
UK1017,Mr. David Little MD,Support,UK,2015-09-29,109654.71,Yes,4.62,2.4,20
UK1018,Julie Roberts,Engineering,UK,2018-04-09,65989.57,Yes,2.02,1.69,4
UK1019,Tony Huerta,Sales,UK,2020-09-02,59486.07,No,2.86,3.25,18
UK1020,Jessica Wright,Finance,UK,2020-09-21,114924.68,No,4.46,3.51,4
UK1021,James Webb,Finance,UK,2019-08-14,47511.49,No,3.53,4.19,18
UK1022,Ian Phillips,Sales,UK,2020-08-09,78713.64,Yes,2.24,2.81,1
UK1023,Ronald Foster,HR,UK,2015-09-21,131486.63,Yes,3.58,4.91,2
UK1024,Melissa Garner,Support,UK,2016-06-01,105348.78,No,2.85,3.22,1
UK1025,Natasha Wall,Finance,UK,2020-06-14,139995.5,Yes,2.29,2.9,4
UK1026,Crystal Pham,Sales,UK,2019-04-23,89557.54,No,4.93,1.34,20
UK1027,Lisa Byrd,Engineering,UK,2017-11-28,44305.63,No,4.96,3.1,19
UK1028,Stephanie Lucas,Engineering,UK,2020-11-02,80028.78,No,2.55,4.1,19
UK1029,Amanda Diaz,Sales,UK,2017-10-26,126814.96,No,1.26,1.38,12
UK1030,Edward Burgess,HR,UK,2018-07-28,67719.54,Yes,2.33,3.33,4
UK1031,Richard Walter,HR,UK,2021-10-22,74125.49,No,1.52,3.84,2
UK1032,Susan Rivas,HR,UK,2019-12-15,101481.43,No,4.25,3.68,16
UK1033,Terry Coffey,Sales,UK,2020-08-08,111062.73,No,3.03,1.07,9
UK1034,Gina Wilson,Engineering,UK,2016-11-11,144628.62,No,4.79,2.95,7
UK1035,Vincent Dalton,Engineering,UK,2022-05-06,57043.97,No,4.38,1.4,17
UK1036,Regina Diaz,Support,UK,2022-04-18,44152.22,No,4.51,3.47,19
UK1037,Joshua Gibson,Finance,UK,2020-01-17,56967.8,Yes,4.33,4.08,5
UK1038,Samantha Bentley,Finance,UK,2017-06-05,44806.17,No,3.71,1.95,14
UK1039,Kaitlyn Harvey,Support,UK,2021-03-01,71342.07,No,1.94,1.96,15
UK1040,Connie Brown,Engineering,UK,2023-06-25,80462.51,No,2.85,2.13,12
UK1041,Elizabeth Ortiz,Support,UK,2017-12-17,98020.58,Yes,4.27,4.21,4
UK1042,Andrew Ferrell,HR,UK,2017-07-23,45739.78,No,4.5,3.22,3
UK1043,Stephen Taylor,Support,UK,2023-04-20,133628.27,No,1.34,1.64,14
UK1044,Travis Horton,Support,UK,2022-09-18,56208.35,No,1.37,4.64,14
UK1045,Molly Mcclure,HR,UK,2017-04-08,142351.91,No,1.21,3.01,7
UK1046,Lisa Crosby,Finance,UK,2020-05-05,149397.79,No,1.9,2.27,3
UK1047,Jacob Ramos,HR,UK,2019-08-08,127051.87,Yes,1.15,4.67,15
UK1048,Ariana Jennings,Engineering,UK,2021-09-07,123472.53,No,2.79,1.02,2
UK1049,Donald Donaldson,Sales,UK,2023-04-27,68151.63,Yes,3.2,3.91,16
UK1050,Daniel Fowler,Finance,UK,2015-12-12,52230.55,No,1.95,1.49,7
UK1051,Gavin Zhang,Finance,UK,2019-01-28,110284.69,No,1.25,4.35,15
UK1052,Phillip Clark,Support,UK,2019-04-04,98965.92,Yes,3.87,2.17,0
UK1053,Crystal Schroeder,Support,UK,2015-08-19,78809.76,No,1.75,3.67,16
UK1054,William Huerta,HR,UK,2019-11-06,47444.73,Yes,2.56,2.88,20
UK1055,Ashley Delacruz,Finance,UK,2017-10-28,147914.34,No,3.99,2.43,2
UK1056,Richard Young,HR,UK,2021-02-02,66523.85,Yes,4.09,3.94,10
UK1057,Derek Martinez,Engineering,UK,2022-09-29,44876.93,No,4.25,1.7,14
UK1058,Nichole Alvarez,Finance,UK,2021-09-28,109490.94,Yes,1.25,4.1,14
UK1059,Ashley Gordon,Sales,UK,2016-04-27,72278.68,Yes,4.16,4.54,10
UK1060,Susan Hopkins,HR,UK,2020-09-18,96692.19,No,2.01,4.01,6
UK1061,Victor Brown,HR,UK,2023-09-25,79267.16,Yes,4.46,2.33,3
UK1062,Jessica Rodriguez,HR,UK,2023-02-17,88064.65,No,3.97,4.58,12
UK1063,Bobby Franklin,HR,UK,2016-09-13,147109.59,No,3.77,2.47,16
UK1064,Marcus Richards,HR,UK,2021-02-11,128126.29,No,1.32,3.41,5
UK1065,Kyle Phillips,Support,UK,2024-03-08,72314.31,Yes,1.32,3.64,9
UK1066,Annette Miles,Finance,UK,2019-03-30,106288.38,No,1.67,2.78,14
