emp_id,name,dept,location,hire_date,salary,attrition,perf_score,engagement,absenteeism_days
US1000,Roy Torres,Sales,USA,2019-02-28,87687.57,No,3.54,4.31,4
US1001,Kevin Pena,Finance,USA,2023-06-30,59375.07,No,3.46,4.68,15
US1002,Michael Dixon,Finance,USA,2018-06-21,87913.19,No,2.29,1.98,2
US1003,Diane Beck,HR,USA,2021-04-14,136979.43,Yes,4.0,3.28,12
US1004,Trevor Young,HR,USA,2020-11-11,43157.0,No,1.73,1.85,8
US1005,Curtis Johnson,HR,USA,2019-10-01,70762.43,No,3.22,3.07,6
US1006,Miss Patricia Gibson,Sales,USA,2018-11-22,66549.17,No,2.95,4.03,15
US1007,Janet Ross,Finance,USA,2018-02-03,89299.2,Yes,1.37,1.89,7
US1008,Abigail Potter,HR,USA,2017-05-25,113035.6,No,2.89,3.12,13
US1009,Colleen Brock,Support,USA,2024-05-24,76387.04,No,2.08,2.01,3
US1010,Justin Lowery,Engineering,USA,2017-08-25,74710.27,Yes,1.77,3.95,8
US1011,Robert Contreras,Support,USA,2020-12-24,147426.77,No,4.92,4.33,9
US1012,Stephanie Salazar,Engineering,USA,2024-03-03,79696.92,No,1.06,3.14,8
US1013,Terry Griffin,Sales,USA,2018-04-16,147172.44,No,3.79,1.51,15
US1014,Karen Green,Sales,USA,2019-10-16,135999.17,No,2.88,2.76,5
US1015,Destiny Strickland,Sales,USA,2023-10-30,67772.62,No,1.46,1.26,15
US1016,Denise Jones,Sales,USA,2020-06-11,103472.33,Yes,1.61,4.24,9
US1017,George Orozco,Sales,USA,2016-12-14,149330.99,Yes,3.23,2.66,19
US1018,David Benson,Support,USA,2019-03-23,64825.59,No,2.8,2.77,18
US1019,Jason Daniels,Finance,USA,2022-08-28,73591.83,Yes,3.44,3.96,6
US1020,Ross Price,Engineering,USA,2015-12-01,69111.07,Yes,1.63,1.7,2
US1021,Pamela James,Engineering,USA,2015-09-07,40294.33,No,3.76,2.88,1
US1022,Elizabeth Price,Engineering,USA,2022-09-17,71691.54,No,3.81,2.82,7
US1023,Morgan Marsh,HR,USA,2019-05-03,126661.08,Yes,2.7,3.18,20
US1024,Don Tucker MD,Engineering,USA,2022-06-18,139925.26,Yes,1.29,1.66,9
US1025,Sara Calhoun,Support,USA,2016-01-16,122385.35,No,2.76,2.87,9
US1026,Leslie Alvarado,Finance,USA,2017-01-04,143694.39,No,2.75,3.39,13
US1027,Brandy Murray,HR,USA,2016-06-09,106408.5,Yes,1.37,4.85,18
US1028,Garrett Gibson,Support,USA,2021-04-29,144586.49,No,3.3,4.05,5
US1029,Jamie Walton,Finance,USA,2022-10-03,97086.02,No,4.66,1.73,18
